"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"289","TESOURA GD","UTENSILIOS","false","UN","0","2,0000","16,0000","32,0000"
"291","PONTEIRA P GRAFISMO","UTENSILIOS","false","UN","0","2,0000","15,0000","30,0000"
"292","BISNAGA PLASTICA","UTENSILIOS","false","UN","0","5,0000","16,9800","84,9000"
"293","TAMPER","UTENSILIOS","false","UN","0","1,0000","150,0000","150,0000"
"295","COLHER BAILARINA","UTENSILIOS","false","UN","0","15,0000","19,9500","299,2500"
"223","XICARA CAFE PQ","UTENSILIOS","false","UN","0","30,0000","22,9300","687,9000"
"224","XICARA CHA GD","UTENSILIOS","false","UN","0","37,0000","19,5100","721,8700"
"225","PIRES CAFE","UTENSILIOS","false","UN","0","32,0000","9,7000","310,4000"
"226","PIRES CHA","UTENSILIOS","false","UN","0","39,0000","12,7000","495,3000"
"228","PRATO SOBREMESA","UTENSILIOS","false","UN","0","24,0000","11,3000","271,2000"
"230","CUMBUCA CALDO","UTENSILIOS","false","UN","0","16,0000","0,0000","0,0000"
"231","MOLHEIRA-BOWL - 500ML","UTENSILIOS","false","UN","0","23,0000","12,0000","276,0000"
"245","DISPENSER SABONETE LIQUIDO","UTENSILIOS","false","UN","0","2,0000","5,9900","11,9800"
"247","DISPENSER PAPEL TOALHA","UTENSILIOS","false","UN","0","2,0000","50,0000","100,0000"
"250","TACA VINHO TINTO 590ML","UTENSILIOS","false","UN","0","11,0000","15,0000","165,0000"
"252","COLHER CAFE","UTENSILIOS","false","UN","0","7,0000","2,0900","14,6300"
"253","COLHER CHA","UTENSILIOS","false","UN","0","36,0000","1,7500","63,0000"
"254","COLHER SOPA","UTENSILIOS","false","UN","0","15,0000","4,5000","67,5000"
"255","COLHER SOBREMESA","UTENSILIOS","false","UN","0","14,0000","2,4000","33,6000"
"256","GARFO REFEICAO","UTENSILIOS","false","UN","0","12,0000","2,1900","26,2800"
"257","GARFO SOBREMESA","UTENSILIOS","false","UN","0","6,0000","2,4500","14,7000"
"258","FACA REFEICAO","UTENSILIOS","false","UN","0","14,0000","2,4900","34,8600"
"259","FACA SOBREMESA","UTENSILIOS","false","UN","0","16,0000","2,3500","37,6000"
"260","FACA COZINHA S SERRA","UTENSILIOS","false","UN","0","2,0000","31,0000","62,0000"
"261","FACA COZINHA C SERRA","UTENSILIOS","false","UN","0","3,0000","72,5000","217,5000"
"262","ESPATULA BOLO","UTENSILIOS","false","UN","0","5,0000","14,9500","74,7500"
"263","ESPREMEDOR LIMAO","UTENSILIOS","false","UN","0","2,0000","15,0000","30,0000"
"265","PEGADOR GELO PQ","UTENSILIOS","false","UN","0","6,0000","15,0000","90,0000"
"266","PEGADOR SORVETE","UTENSILIOS","false","UN","0","3,0000","14,0000","42,0000"
"148","CALDO VERDE C/BACON","CALDOS","true","UN","0","10,0000","12,1000","121,0000"
"483","CALDO MANDIOQUINHA C/CARNE SECA","CALDOS","true","UN","0","12,0000","12,9000","154,8000"
"194","TORTA FRANGO REQUEIJAO","SALGADOS","true","UN","0","46,0000","4,9242","226,5132"
"195","TORTA PALMITO","SALGADOS","true","UN","0","25,0000","5,1100","127,7500"
"198","QUICHE ALHO PORO","SALGADOS","true","UN","0","51,0000","5,1658","263,4558"
"199","EMPADA FRANGO","SALGADOS","true","UN","0","33,0000","2,8804","95,0532"
"200","EMPADA PALMITO","SALGADOS","true","UN","0","25,0000","2,9200","73,0000"
"757","QUICHE 4 QUEIJOS","SALGADOS","true","UN","0","74,0000","5,2213","386,3762"
"1230","COXINHA CRISPY","SALGADOS","true","UN","0","62,0000","4,0067","248,4154"
"1190","FOLHADO NAPOLI QUEIJO TOMATE 55X135G","SALGADOS","true","UN","0","72,0000","5,7511","414,0792"
"1258","EMPANADA MARGUERITA","SALGADOS","true","UN","0","0,0000","6,5000","0,0000"
"862","CROISSANT SIMPLES AUTHENTIQUE 70G","PAES","true","UN","0","106,0000","4,2931","455,0686"
"207","PAO DE BATATA REQUEIJAO 130G","PAES","true","UN","0","54,0000","3,6427","196,7058"
